city	geography_type	year	resident_population	percent_change_in_resident_population	resident_population_density	resident_population_density_rank	number_of_representatives	change_in_number_of_representatives	average_apportionment_population_per_representative
Ohio	State	1920	5759394	20.8	141.0	10.0	22.0	0.0	261791.0
Oklahoma	State	1920	2028283	22.4	29.6	33.0	8.0	0.0	253535.0
Oregon	State	1920	783389	16.4	8.2	44.0	3.0	0.0	261130.0
Pennsylvania	State	1920	8720017	13.8	194.9	8.0	36.0	0.0	242223.0
Puerto Rico	State	1920	1299809	16.3	379.6	5.0	0.0	0.0	0.0
Rhode Island	State	1920	604397	11.4	584.6	2.0	3.0	0.0	201466.0
South Carolina	State	1920	1683724	11.1	56.0	19.0	7.0	0.0	240532.0
South Dakota	State	1920	636547	9.0	8.4	43.0	3.0	0.0	210413.0
Tennessee	State	1920	2337885	7.0	56.7	18.0	10.0	0.0	233789.0
Texas	State	1920	4663228	19.7	17.9	39.0	18.0	0.0	259068.0
Utah	State	1920	449396	20.4	5.5	45.0	2.0	0.0	224194.0
Vermont	State	1920	352428	-1.0	38.2	30.0	2.0	0.0	176214.0
Virginia	State	1920	2309187	12.0	58.5	17.0	10.0	0.0	230919.0
Washington	State	1920	1356621	18.8	20.4	37.0	5.0	0.0	270919.0
West Virginia	State	1920	1463701	19.9	60.9	15.0	6.0	0.0	243950.0
Wisconsin	State	1920	2632067	12.8	48.6	24.0	11.0	0.0	239210.0
Wyoming	State	1920	194402	33.2	2.0	50.0	1.0	0.0	193487.0
Alabama	State	1930	2646248	12.7	52.3	24.0	9.0	-1.0	294027.0
Alaska	State	1930	59278	7.7	0.1	52.0	0.0	0.0	0.0
Arizona	State	1930	435573	30.3	3.8	47.0	1.0	1.0	389375.0
Arkansas	State	1930	1854482	5.8	35.6	32.0	7.0	0.0	264921.0
California	State	1930	5677251	65.7	36.4	31.0	20.0	9.0	283412.0
Colorado	State	1930	1035791	10.2	10.0	41.0	4.0	0.0	258712.0
Connecticut	State	1930	1606903	16.4	331.8	6.0	6.0	1.0	267816.0
Delaware	State	1930	238380	6.9	122.3	12.0	1.0	0.0	238380.0
District of Columbia	State	1930	486869	11.3	0.0	1.0	0.0	0.0	0.0
Florida	State	1930	1468211	51.6	27.4	35.0	5.0	1.0	293638.0
Georgia	State	1930	2908506	0.4	50.6	26.0	10.0	-2.0	290845.0
Hawaii	State	1930	368336	43.9	57.3	21.0	0.0	0.0	0.0
Idaho	State	1930	445032	3.0	5.4	46.0	2.0	0.0	220768.0
Illinois	State	1930	7630654	17.7	137.4	11.0	27.0	0.0	282607.0
Indiana	State	1930	3238503	10.5	90.4	13.0	12.0	-1.0	269873.0
Iowa	State	1930	2470939	2.8	44.2	28.0	9.0	-2.0	274491.0
Kansas	State	1930	1880999	6.3	23.0	38.0	7.0	-1.0	268500.0
Kentucky	State	1930	2614589	8.2	66.2	16.0	9.0	-2.0	290508.0
Louisiana	State	1930	2101593	16.9	48.6	27.0	8.0	0.0	262699.0
Maine	State	1930	797423	3.8	25.9	36.0	3.0	-1.0	265806.0
Maryland	State	1930	1631526	12.5	168.1	9.0	6.0	0.0	271920.0
Massachusetts	State	1930	4249614	10.3	544.8	4.0	15.0	-1.0	283307.0
Michigan	State	1930	4842325	32.0	85.6	14.0	17.0	4.0	284827.0
Minnesota	State	1930	2563953	7.4	32.2	34.0	9.0	-1.0	283509.0
Mississippi	State	1930	2009821	12.2	42.8	29.0	7.0	-1.0	286879.0
Missouri	State	1930	3629367	6.6	52.8	23.0	13.0	-3.0	279162.0
Montana	State	1930	537606	-2.1	3.7	48.0	2.0	0.0	262365.0
Nebraska	State	1930	1377963	6.3	17.9	40.0	5.0	-1.0	275025.0
Nevada	State	1930	91058	17.6	0.8	51.0	1.0	0.0	86390.0
New Hampshire	State	1930	465293	5.0	52.0	25.0	2.0	0.0	232646.0
New Jersey	State	1930	4041334	28.1	549.5	3.0	14.0	2.0	288666.0
New Mexico	State	1930	423317	17.5	3.5	49.0	1.0	1.0	395982.0
New York	State	1930	12588066	21.2	267.1	7.0	45.0	2.0	279733.0
North Carolina	State	1930	3170276	23.9	65.2	17.0	11.0	1.0	287934.0
North Dakota	State	1930	680845	5.3	9.9	42.0	2.0	-1.0	336670.0
Ohio	State	1930	6646697	15.4	162.7	10.0	24.0	2.0	276943.0
Oklahoma	State	1930	2396040	18.1	34.9	33.0	9.0	1.0	264691.0
Oregon	State	1930	953786	21.8	9.9	42.0	3.0	0.0	316793.0
Pennsylvania	State	1930	9631350	10.5	215.3	8.0	34.0	-2.0	283274.0
Puerto Rico	State	1930	1543913	18.8	450.9	5.0	0.0	0.0	0.0
Rhode Island	State	1930	687497	13.7	665.0	2.0	2.0	-1.0	343749.0
South Carolina	State	1930	1738765	3.3	57.8	20.0	6.0	-1.0	289793.0
South Dakota	State	1930	692849	8.8	9.1	44.0	2.0	-1.0	336503.0
Tennessee	State	1930	2616556	11.9	63.5	18.0	9.0	-1.0	290722.0
Texas	State	1930	5824715	24.9	22.3	39.0	21.0	3.0	277362.0
Utah	State	1930	507847	13.0	6.2	45.0	2.0	0.0	252871.0
Vermont	State	1930	359611	2.0	39.0	30.0	1.0	-1.0	359611.0
Virginia	State	1930	2421851	4.9	61.3	19.0	9.0	-1.0	269092.0
Washington	State	1930	1563396	15.2	23.5	37.0	6.0	1.0	258737.0
West Virginia	State	1930	1729205	18.1	71.9	15.0	6.0	0.0	288200.0
Wisconsin	State	1930	2939006	11.7	54.3	22.0	10.0	-1.0	293172.0
Wyoming	State	1930	225565	16.0	2.3	50.0	1.0	0.0	223630.0
Alabama	State	1940	2832961	7.1	55.9	23.0	9.0	0.0	314773.0
Alaska	State	1940	72524	22.3	0.1	52.0	0.0	0.0	0.0
Arizona	State	1940	499261	14.6	4.4	47.0	2.0	1.0	249631.0
Arkansas	State	1940	1949387	5.1	37.5	32.0	7.0	0.0	278484.0
California	State	1940	6907387	21.7	44.3	30.0	23.0	3.0	300321.0
Colorado	State	1940	1123296	8.4	10.8	42.0	4.0	0.0	280824.0
Connecticut	State	1940	1709242	6.4	353.0	6.0	6.0	0.0	284874.0
Delaware	State	1940	266505	11.8	136.8	12.0	1.0	0.0	266505.0
District of Columbia	State	1940	663091	36.2	0.0	1.0	0.0	0.0	0.0
Florida	State	1940	1897414	29.2	35.4	33.0	6.0	1.0	316236.0
Georgia	State	1940	3123723	7.4	54.3	27.0	10.0	0.0	312372.0
Hawaii	State	1940	423330	14.9	65.9	20.0	0.0	0.0	0.0
Idaho	State	1940	524873	17.9	6.4	46.0	2.0	0.0	262437.0
Illinois	State	1940	7897241	3.5	142.2	11.0	26.0	-1.0	303740.0
Indiana	State	1940	3427796	5.8	95.7	13.0	11.0	-1.0	311618.0
Iowa	State	1940	2538268	2.7	45.4	29.0	8.0	-1.0	317284.0
Kansas	State	1940	1801028	-4.3	22.0	39.0	6.0	-1.0	300171.0
Kentucky	State	1940	2845627	8.8	72.1	17.0	9.0	0.0	316181.0
Louisiana	State	1940	2363880	12.5	54.7	26.0	8.0	0.0	295485.0
Maine	State	1940	847226	6.2	27.5	36.0	3.0	0.0	282409.0
Maryland	State	1940	1821244	11.6	187.6	9.0	6.0	0.0	303541.0
Massachusetts	State	1940	4316721	1.6	553.4	4.0	14.0	-1.0	308337.0
Michigan	State	1940	5256106	8.5	93.0	14.0	17.0	0.0	309183.0
Minnesota	State	1940	2792300	8.9	35.1	34.0	9.0	0.0	310256.0
Mississippi	State	1940	2183796	8.7	46.5	28.0	7.0	0.0	311971.0
Missouri	State	1940	3784664	4.3	55.1	24.0	13.0	0.0	291128.0
Montana	State	1940	559456	4.1	3.8	49.0	2.0	0.0	279728.0
Nebraska	State	1940	1315834	-4.5	17.1	40.0	4.0	-1.0	328959.0
Nevada	State	1940	110247	21.1	1.0	51.0	1.0	0.0	110247.0
New Hampshire	State	1940	491524	5.6	54.9	25.0	2.0	0.0	245762.0
New Jersey	State	1940	4160165	2.9	565.7	3.0	14.0	0.0	297155.0
New Mexico	State	1940	531818	25.6	4.4	47.0	2.0	1.0	265909.0
New York	State	1940	13479142	7.1	286.0	7.0	45.0	0.0	299536.0
North Carolina	State	1940	3571623	12.7	73.5	16.0	12.0	1.0	297635.0
North Dakota	State	1940	641935	-5.7	9.3	43.0	2.0	0.0	320968.0
Ohio	State	1940	6907612	3.9	169.1	10.0	23.0	-1.0	300331.0
Oklahoma	State	1940	2336434	-2.5	34.1	35.0	8.0	-1.0	292054.0
Oregon	State	1940	1089684	14.2	11.4	41.0	4.0	1.0	272421.0
Pennsylvania	State	1940	9900180	2.8	221.3	8.0	33.0	-1.0	300005.0
Puerto Rico	State	1940	1869255	21.1	546.0	5.0	0.0	0.0	0.0
Rhode Island	State	1940	713346	3.8	690.0	2.0	2.0	0.0	356673.0
South Carolina	State	1940	1899804	9.3	63.2	21.0	6.0	0.0	316634.0
South Dakota	State	1940	642961	-7.2	8.5	44.0	2.0	0.0	321481.0
Tennessee	State	1940	2915841	11.4	70.7	18.0	10.0	1.0	291584.0
Texas	State	1940	6414824	10.1	24.6	38.0	21.0	0.0	305468.0
Utah	State	1940	550310	8.4	6.7	45.0	2.0	0.0	275155.0
Vermont	State	1940	359231	-0.1	39.0	31.0	1.0	0.0	359231.0
Virginia	State	1940	2677773	10.6	67.8	19.0	9.0	0.0	297530.0
Washington	State	1940	1736191	11.1	26.1	37.0	6.0	0.0	289365.0
West Virginia	State	1940	1901974	10.0	79.1	15.0	6.0	0.0	316996.0
Wisconsin	State	1940	3137587	6.8	57.9	22.0	10.0	0.0	313759.0
Wyoming	State	1940	250742	11.2	2.6	50.0	1.0	0.0	250742.0
Alabama	State	1950	3061743	8.1	60.5	24.0	9.0	0.0	340194.0
Alaska	State	1950	128643	77.4	0.2	52.0	0.0	0.0	0.0
Arizona	State	1950	749587	50.1	6.6	47.0	2.0	0.0	374794.0
Arkansas	State	1950	1909511	-2.0	36.7	34.0	6.0	-1.0	318252.0
California	State	1950	10586223	53.3	68.0	22.0	30.0	7.0	352874.0
Colorado	State	1950	1325089	18.0	12.8	42.0	4.0	0.0	331272.0
Connecticut	State	1950	2007280	17.4	414.5	6.0	6.0	0.0	334547.0
Delaware	State	1950	318085	19.4	163.2	11.0	1.0	0.0	318085.0
District of Columbia	State	1950	802178	21.0	0.0	1.0	0.0	0.0	0.0
Florida	State	1950	2771305	46.1	51.7	29.0	8.0	2.0	346413.0
Georgia	State	1950	3444578	10.3	59.9	27.0	10.0	0.0	344458.0
Hawaii	State	1950	499794	18.1	77.8	19.0	0.0	0.0	0.0
Idaho	State	1950	588637	12.1	7.1	46.0	2.0	0.0	294319.0
Illinois	State	1950	8712176	10.3	156.9	12.0	25.0	-1.0	348487.0
Indiana	State	1950	3934224	14.8	109.8	14.0	11.0	0.0	357657.0
Iowa	State	1950	2621073	3.3	46.9	30.0	8.0	0.0	327634.0
Kansas	State	1950	1905299	5.8	23.3	39.0	6.0	0.0	317550.0
Kentucky	State	1950	2944806	3.5	74.6	20.0	8.0	-1.0	368101.0
Louisiana	State	1950	2683516	13.5	62.1	25.0	8.0	0.0	335440.0
Maine	State	1950	913774	7.9	29.6	37.0	3.0	0.0	304591.0
Maryland	State	1950	2343001	28.6	241.4	8.0	7.0	1.0	334714.0
Massachusetts	State	1950	4690514	8.7	601.3	5.0	14.0	0.0	335037.0
Michigan	State	1950	6371766	21.2	112.7	13.0	18.0	1.0	353987.0
Minnesota	State	1950	2982483	6.8	37.5	33.0	9.0	0.0	331387.0
Mississippi	State	1950	2178914	-0.2	46.4	31.0	6.0	-1.0	363152.0
Missouri	State	1950	3954653	4.5	57.5	28.0	11.0	-2.0	359514.0
Montana	State	1950	591024	5.6	4.1	49.0	2.0	0.0	295512.0
Nebraska	State	1950	1325510	0.7	17.3	40.0	4.0	0.0	331378.0
Nevada	State	1950	160083	45.2	1.5	51.0	1.0	0.0	160083.0
New Hampshire	State	1950	533242	8.5	59.6	26.0	2.0	0.0	266621.0
New Jersey	State	1950	4835329	16.2	657.5	4.0	14.0	0.0	345381.0
New Mexico	State	1950	681187	28.1	5.6	48.0	2.0	0.0	340594.0
New York	State	1950	14830192	10.0	314.7	7.0	43.0	-2.0	344888.0
North Carolina	State	1950	4061929	13.7	83.5	17.0	12.0	0.0	338494.0
North Dakota	State	1950	619636	-3.5	9.0	43.0	2.0	0.0	309818.0
Ohio	State	1950	7946627	15.0	194.5	10.0	23.0	0.0	345506.0
Oklahoma	State	1950	2233351	-4.4	32.6	36.0	6.0	-2.0	372225.0
Oregon	State	1950	1521341	39.6	15.8	41.0	4.0	0.0	380335.0
Pennsylvania	State	1950	10498012	6.0	234.6	9.0	30.0	-3.0	349934.0
Puerto Rico	State	1950	2210703	18.3	645.7	2.0	0.0	0.0	0.0
Rhode Island	State	1950	791896	11.0	766.0	3.0	2.0	0.0	395948.0
South Carolina	State	1950	2117027	11.4	70.4	21.0	6.0	0.0	352838.0
South Dakota	State	1950	652740	1.5	8.6	44.0	2.0	0.0	326370.0
Tennessee	State	1950	3291718	12.9	79.8	18.0	9.0	-1.0	365746.0
Texas	State	1950	7711194	20.2	29.5	38.0	22.0	1.0	350509.0
Utah	State	1950	688862	25.2	8.4	45.0	2.0	0.0	344431.0
Vermont	State	1950	377747	5.2	41.0	32.0	1.0	0.0	377747.0
Virginia	State	1950	3318680	23.9	84.0	16.0	10.0	1.0	331868.0
Washington	State	1950	2378963	37.0	35.8	35.0	7.0	1.0	339852.0
West Virginia	State	1950	2005552	5.4	83.4	15.0	6.0	0.0	334259.0
Wisconsin	State	1950	3434575	9.5	63.4	23.0	10.0	0.0	343458.0
Wyoming	State	1950	290529	15.9	3.0	50.0	1.0	0.0	290529.0
Alabama	State	1960	3266740	6.7	64.5	28.0	8.0	-1.0	408343.0
Alaska	State	1960	226167	75.8	0.4	52.0	1.0	1.0	226167.0
Arizona	State	1960	1302161	73.7	11.5	43.0	3.0	1.0	434054.0
Arkansas	State	1960	1786272	-6.5	34.3	36.0	4.0	-2.0	446568.0
California	State	1960	15717204	48.5	100.9	15.0	38.0	8.0	413611.0
Colorado	State	1960	1753947	32.4	16.9	42.0	4.0	0.0	438487.0
Connecticut	State	1960	2535234	26.3	523.6	6.0	6.0	0.0	422539.0
Delaware	State	1960	446292	40.3	229.0	11.0	1.0	0.0	446292.0
District of Columbia	State	1960	763956	-4.8	0.0	1.0	0.0	0.0	0.0
Florida	State	1960	4951560	78.7	92.3	19.0	12.0	4.0	412630.0
Georgia	State	1960	3943116	14.5	68.6	26.0	10.0	0.0	394312.0
Hawaii	State	1960	632772	26.6	98.5	17.0	2.0	2.0	316386.0
Idaho	State	1960	667191	13.3	8.1	47.0	2.0	0.0	333596.0
Illinois	State	1960	10081158	15.7	181.6	12.0	24.0	-1.0	420048.0
Indiana	State	1960	4662498	18.5	130.1	14.0	11.0	0.0	423863.0
Iowa	State	1960	2757537	5.2	49.4	30.0	7.0	-1.0	393934.0
Kansas	State	1960	2178611	14.3	26.6	39.0	5.0	-1.0	435722.0
Kentucky	State	1960	3038156	3.2	76.9	23.0	7.0	-1.0	434022.0
Louisiana	State	1960	3257022	21.4	75.4	24.0	8.0	0.0	407128.0
Maine	State	1960	969265	6.1	31.4	38.0	2.0	-1.0	484633.0
Maryland	State	1960	3100689	32.3	319.4	8.0	8.0	1.0	387586.0
Massachusetts	State	1960	5148578	9.8	660.1	5.0	12.0	-2.0	429048.0
Michigan	State	1960	7823194	22.8	138.4	13.0	19.0	1.0	411747.0
Minnesota	State	1960	3413864	14.5	42.9	32.0	8.0	-1.0	426733.0
Mississippi	State	1960	2178141	0.0	46.4	31.0	5.0	-1.0	435628.0
Missouri	State	1960	4319813	9.2	62.8	29.0	10.0	-1.0	431981.0
Montana	State	1960	674767	14.2	4.6	49.0	2.0	0.0	337384.0
Nebraska	State	1960	1411330	6.5	18.4	40.0	3.0	-1.0	470443.0
Nevada	State	1960	285278	78.2	2.6	51.0	1.0	0.0	285278.0
New Hampshire	State	1960	606921	13.8	67.8	27.0	2.0	0.0	303461.0
New Jersey	State	1960	6066782	25.5	824.9	3.0	15.0	1.0	404452.0
New Mexico	State	1960	951023	39.6	7.8	48.0	2.0	0.0	475512.0
New York	State	1960	16782304	13.2	356.1	7.0	41.0	-2.0	409324.0
North Carolina	State	1960	4556155	12.2	93.7	18.0	11.0	-1.0	414196.0
North Dakota	State	1960	632446	2.1	9.2	45.0	2.0	0.0	316223.0
Ohio	State	1960	9706397	22.1	237.5	10.0	24.0	1.0	404433.0
Oklahoma	State	1960	2328284	4.3	33.9	37.0	6.0	0.0	388047.0
Oregon	State	1960	1768687	16.3	18.4	40.0	4.0	0.0	442172.0
Pennsylvania	State	1960	11319366	7.8	253.0	9.0	27.0	-3.0	419236.0
Puerto Rico	State	1960	2349544	6.3	686.2	4.0	0.0	0.0	0.0
Rhode Island	State	1960	859488	8.5	831.4	2.0	2.0	0.0	429744.0
South Carolina	State	1960	2382594	12.5	79.3	21.0	6.0	0.0	397099.0
South Dakota	State	1960	680514	4.3	9.0	46.0	2.0	0.0	340257.0
Tennessee	State	1960	3567089	8.4	86.5	20.0	9.0	0.0	396343.0
Texas	State	1960	9579677	24.2	36.7	35.0	23.0	1.0	416508.0
Utah	State	1960	890627	29.3	10.8	44.0	2.0	0.0	445314.0
Vermont	State	1960	389881	3.2	42.3	34.0	1.0	0.0	389881.0
Virginia	State	1960	3966949	19.5	100.5	16.0	10.0	0.0	396695.0
Washington	State	1960	2853214	19.9	42.9	32.0	7.0	0.0	407602.0
West Virginia	State	1960	1860421	-7.2	77.4	22.0	5.0	-1.0	372084.0
Wisconsin	State	1960	3951777	15.1	73.0	25.0	10.0	0.0	395178.0
Wyoming	State	1960	330066	13.6	3.4	50.0	1.0	0.0	330066.0
Alabama	State	1970	3444165	5.4	68.0	28.0	7.0	-1.0	496555.0
Alaska	State	1970	300382	32.8	0.5	52.0	1.0	0.0	304067.0
Arizona	State	1970	1770900	36.0	15.6	43.0	4.0	1.0	446905.0
Arkansas	State	1970	1923295	7.7	37.0	37.0	4.0	0.0	485576.0
California	State	1970	19953134	27.0	128.1	15.0	43.0	5.0	467415.0
Colorado	State	1970	2207259	25.8	21.3	41.0	5.0	1.0	445354.0
Connecticut	State	1970	3031709	19.6	626.1	6.0	6.0	0.0	508449.0
Delaware	State	1970	548104	22.8	281.3	9.0	1.0	0.0	551928.0
District of Columbia	State	1970	756510	-1.0	0.0	1.0	0.0	0.0	0.0
Florida	State	1970	6789443	37.1	126.6	16.0	15.0	3.0	457047.0
Georgia	State	1970	4589575	16.4	79.8	26.0	10.0	0.0	462731.0
Hawaii	State	1970	768561	21.5	119.7	17.0	2.0	0.0	392451.0
Idaho	State	1970	712567	6.8	8.6	47.0	2.0	0.0	359961.0
Illinois	State	1970	11113976	10.2	200.2	12.0	24.0	0.0	466013.0
Indiana	State	1970	5193669	11.4	145.0	14.0	11.0	0.0	475287.0
Iowa	State	1970	2824376	2.4	50.6	31.0	6.0	-1.0	474487.0
Kansas	State	1970	2246578	3.1	27.5	39.0	5.0	0.0	453169.0
Kentucky	State	1970	3218706	5.9	81.5	25.0	7.0	0.0	463783.0
Louisiana	State	1970	3641306	11.8	84.3	22.0	8.0	0.0	459001.0
Maine	State	1970	992048	2.4	32.2	38.0	2.0	0.0	503160.0
Maryland	State	1970	3922399	26.5	404.1	7.0	8.0	0.0	494212.0
Massachusetts	State	1970	5689170	10.5	729.4	5.0	12.0	0.0	477223.0
Michigan	State	1970	8875083	13.4	157.0	13.0	19.0	0.0	470379.0
Minnesota	State	1970	3804971	11.5	47.8	33.0	8.0	0.0	479147.0
Mississippi	State	1970	2216912	1.8	47.2	34.0	5.0	0.0	446770.0
Missouri	State	1970	4676501	8.3	68.0	28.0	10.0	0.0	471803.0
Montana	State	1970	694409	2.9	4.8	49.0	2.0	0.0	350787.0
Nebraska	State	1970	1483493	5.1	19.3	42.0	3.0	0.0	498940.0
Nevada	State	1970	488738	71.3	4.5	50.0	1.0	0.0	492396.0
New Hampshire	State	1970	737681	21.5	82.4	23.0	2.0	0.0	373142.0
New Jersey	State	1970	7168164	18.2	974.7	2.0	15.0	0.0	480536.0
New Mexico	State	1970	1016000	6.8	8.4	48.0	2.0	0.0	513332.0
New York	State	1970	18236967	8.7	387.0	8.0	39.0	-2.0	470207.0
North Carolina	State	1970	5082059	11.5	104.5	19.0	11.0	0.0	465930.0
North Dakota	State	1970	617761	-2.3	9.0	45.0	1.0	-1.0	624181.0
Ohio	State	1970	10652017	9.7	260.7	11.0	23.0	-1.0	466530.0
Oklahoma	State	1970	2559229	9.9	37.3	36.0	6.0	0.0	430914.0
Oregon	State	1970	2091385	18.2	21.8	40.0	4.0	0.0	527703.0
Pennsylvania	State	1970	11793909	4.2	263.6	10.0	25.0	-2.0	475373.0
Puerto Rico	State	1970	2712033	15.4	792.1	4.0	0.0	0.0	0.0
